frequency,recency,T,monetary_value,proba_alive,Pred_future_trans,Val_moy_attendu,CLV_predict
4.0,683.0,955.0,1466.06,0.9999999978012457,0.11,1567.09,177.87
1.0,393.0,655.0,2150.33,0.9999999973681706,0.07,2894.05,209.96
1.0,182.0,1044.0,2055.3,0.9999999724689831,0.06,2766.33,155.66
4.0,591.0,653.0,4214.75,0.9999999995959454,0.14,4503.66,626.18
1.0,293.0,376.0,2834.32,0.9999999990035497,0.09,3813.29,349.1
1.0,4.0,1049.0,5105.1,0.9999997436350114,0.06,6865.11,385.18
1.0,757.0,963.0,1303.9,0.999999998947195,0.06,1756.48,103.68
3.0,377.0,741.0,2086.24,0.9999999941002369,0.11,2281.93,250.37
2.0,608.0,755.0,2345.92,0.9999999990410204,0.09,2691.91,237.13
4.0,719.0,868.0,2644.82,0.9999999990835016,0.12,2826.42,338.73
3.0,901.0,945.0,4040.62,0.9999999998217932,0.1,4418.58,424.29
3.0,469.0,1052.0,3092.9,0.9999999893880701,0.09,3382.47,304.84
4.0,753.0,755.0,2177.96,0.9999999999907456,0.13,2327.65,300.78
1.0,509.0,839.0,5757.05,0.9999999972972435,0.06,7741.3,494.01
1.0,401.0,670.0,3266.38,0.9999999973365674,0.07,4393.96,315.26
3.0,781.0,940.0,1854.19,0.999999999142138,0.1,2028.23,195.36
2.0,1051.0,1067.0,1251.97,0.9999999999464724,0.07,1437.44,104.13
4.0,820.0,1031.0,3968.33,0.9999999987578188,0.11,4240.4,460.04
4.0,626.0,1044.0,3806.72,0.9999999950642666,0.11,4067.74,438.0
1.0,761.0,1071.0,1838.72,0.9999999983279126,0.06,2475.26,137.14
3.0,808.0,1089.0,3605.98,0.9999999982941372,0.09,3943.4,348.0
2.0,344.0,642.0,593.38,0.9999999959544761,0.1,682.2,65.2
1.0,289.0,1053.0,3507.27,0.9999999851120718,0.06,4717.71,264.09
1.0,425.0,792.0,4120.54,0.9999999963286093,0.07,5541.91,364.88
3.0,943.0,980.0,4005.99,0.9999999998580482,0.09,4380.72,411.84
1.0,176.0,832.0,1120.47,0.9999999819709334,0.06,1509.96,96.8
5.0,840.0,946.0,2442.93,0.9999999994667073,0.13,2575.36,340.7
3.0,530.0,925.0,1161.36,0.9999999954088745,0.1,1270.79,123.54
3.0,547.0,738.0,1822.14,0.999999998427402,0.11,1993.19,219.15
3.0,963.0,996.0,3349.99,0.9999999998766085,0.09,3663.54,341.14
1.0,433.0,523.0,3182.4,0.9999999992516915,0.08,4281.1,344.41
2.0,670.0,965.0,1486.78,0.9999999979890577,0.08,1706.7,131.26
1.0,781.0,841.0,4038.78,0.9999999997251363,0.06,5432.03,346.19
5.0,877.0,965.0,3303.51,0.9999999995914417,0.13,3482.37,455.39
3.0,734.0,905.0,2424.0,0.9999999989987436,0.1,2651.19,260.97
2.0,624.0,1070.0,3716.67,0.9999999961675903,0.07,4263.81,308.36
3.0,794.0,832.0,2190.11,0.999999999826213,0.1,2395.48,247.11
2.0,199.0,871.0,2217.74,0.9999999745240695,0.08,2544.92,207.52
1.0,398.0,586.0,4915.04,0.999999998216377,0.08,6609.68,505.47
4.0,416.0,1032.0,1986.24,0.9999999810554533,0.11,2122.83,230.17
4.0,927.0,990.0,1959.99,0.9999999997416809,0.11,2094.78,232.81
1.0,411.0,848.0,1720.48,0.9999999952586383,0.06,2316.35,146.95
5.0,928.0,1001.0,1908.78,0.9999999996894844,0.13,2012.4,257.56
1.0,451.0,754.0,7618.98,0.9999999972572529,0.07,10243.64,692.2
3.0,241.0,843.0,3037.64,0.9999999752149726,0.1,3322.06,340.23
4.0,726.0,916.0,4195.96,0.9999999987602675,0.12,4483.59,521.27
3.0,829.0,833.0,3298.79,0.9999999999831624,0.1,3607.56,371.9
1.0,186.0,296.0,790.08,0.9999999980053829,0.1,1065.94,105.51
4.0,361.0,443.0,2214.14,0.9999999990865225,0.17,2366.3,390.02
4.0,492.0,670.0,4332.15,0.9999999982571519,0.14,4629.09,635.57
2.0,403.0,696.0,1973.53,0.9999999966186468,0.09,2264.88,208.01
1.0,313.0,845.0,3186.82,0.9999999919876098,0.06,4287.04,272.51
4.0,482.0,494.0,2691.5,0.9999999999117746,0.16,2876.29,453.65
1.0,367.0,987.0,3239.86,0.9999999914108658,0.06,4358.32,253.57
3.0,804.0,860.0,2382.75,0.9999999997416782,0.1,2606.09,263.98
1.0,450.0,478.0,3569.15,0.9999999997816778,0.08,4800.87,401.11
2.0,880.0,947.0,1132.07,0.9999999997207265,0.08,1299.94,101.08
2.0,68.0,503.0,4701.22,0.9999999732507387,0.11,5392.83,575.46
4.0,772.0,864.0,1277.66,0.9999999995225064,0.12,1365.81,164.11
5.0,582.0,745.0,3272.35,0.9999999986133123,0.15,3449.53,520.29
1.0,23.0,93.0,941.46,0.9999999941307627,0.13,1269.38,158.25
3.0,733.0,808.0,3605.98,0.9999999996108029,0.11,3943.4,413.31
1.0,28.0,526.0,948.09,0.9999999633618735,0.08,1278.29,102.58
1.0,909.0,988.0,4617.8,0.9999999996861719,0.06,6210.2,361.1
6.0,622.0,850.0,2411.29,0.9999999976971801,0.16,2519.26,402.67
4.0,955.0,1045.0,3135.44,0.9999999996280255,0.11,3350.58,360.57
5.0,1037.0,1090.0,4258.23,0.9999999998062308,0.12,4488.59,545.75
4.0,927.0,1015.0,4789.9,0.9999999996257587,0.11,5118.13,560.48
1.0,170.0,318.0,2742.61,0.9999999970859854,0.1,3690.04,357.27
2.0,273.0,328.0,4163.09,0.9999999992783073,0.13,4775.73,597.27
2.0,947.0,986.0,1980.71,0.9999999998524725,0.08,2273.11,172.63
2.0,247.0,442.0,3147.04,0.9999999968026785,0.11,3610.59,406.05
3.0,609.0,1011.0,1518.64,0.9999999959897763,0.09,1661.39,153.34
1.0,339.0,578.0,1505.01,0.9999999972869829,0.08,2026.77,155.97
5.0,924.0,990.0,2564.48,0.999999999721477,0.13,2703.47,348.27
3.0,686.0,710.0,3359.2,0.9999999998749018,0.11,3673.61,411.99
1.0,396.0,655.0,5189.08,0.9999999974217542,0.07,6977.98,506.25
2.0,739.0,826.0,6226.67,0.9999999995595314,0.08,7142.12,599.68
1.0,313.0,484.0,671.84,0.9999999979933052,0.08,907.03,75.39
1.0,318.0,377.0,351.39,0.9999999993487914,0.09,476.36,43.57
4.0,779.0,1001.0,2061.65,0.9999999985884844,0.11,2203.39,243.29
3.0,853.0,962.0,4379.12,0.9999999994961806,0.1,4788.65,455.09
1.0,635.0,857.0,664.1,0.9999999986339114,0.06,896.62,56.55
4.0,631.0,957.0,1797.56,0.9999999967990754,0.11,1921.25,217.8
2.0,859.0,982.0,3761.97,0.9999999994491331,0.08,4315.75,328.55
3.0,285.0,822.0,2933.78,0.9999999837685247,0.1,3208.51,333.17
2.0,427.0,725.0,4662.55,0.9999999967369584,0.09,5348.48,481.15
7.0,581.0,778.0,3561.73,0.9999999978339749,0.19,3697.34,694.81
1.0,148.0,265.0,1979.06,0.9999999974316731,0.1,2663.87,272.24
5.0,741.0,1031.0,827.87,0.9999999975408262,0.13,873.17,109.81
1.0,117.0,150.0,335.92,0.9999999990753994,0.12,455.57,52.94
3.0,558.0,802.0,1603.72,0.9999999978738991,0.11,1754.4,184.62
1.0,398.0,720.0,2117.18,0.9999999966747586,0.07,2849.49,197.2
2.0,379.0,462.0,2543.71,0.9999999991864181,0.11,2918.73,322.54
7.0,1033.0,1070.0,3848.56,0.9999999998648283,0.16,3995.06,626.15
2.0,492.0,683.0,4469.17,0.9999999983870089,0.09,5126.73,475.31
5.0,856.0,920.0,1619.93,0.9999999997083584,0.14,1707.96,229.6
4.0,644.0,805.0,3166.38,0.9999999988598165,0.13,3383.63,422.6
1.0,792.0,1011.0,501.67,0.9999999989231019,0.06,678.33,38.91
3.0,765.0,810.0,1913.49,0.9999999997844922,0.11,2093.06,219.08
7.0,810.0,977.0,2953.03,0.9999999988865056,0.17,3065.55,507.28
2.0,683.0,843.0,3480.2,0.9999999990617796,0.08,3992.64,331.52
4.0,859.0,1053.0,1868.28,0.9999999989458734,0.11,1996.8,213.9
7.0,714.0,935.0,2027.68,0.9999999979807921,0.17,2105.08,357.35
6.0,690.0,953.0,3257.72,0.9999999974384814,0.15,3403.4,509.87
3.0,734.0,999.0,3703.22,0.999999998243523,0.09,4049.71,376.43
2.0,456.0,1021.0,1284.56,0.9999999921250008,0.08,1474.81,109.71
4.0,758.0,785.0,2459.73,0.9999999998710558,0.13,2628.68,332.77
1.0,466.0,686.0,2091.76,0.9999999981688403,0.07,2815.33,199.65
1.0,611.0,898.0,6922.82,0.9999999980917389,0.06,9308.04,571.92
3.0,275.0,799.0,3206.34,0.9999999839304843,0.11,3506.49,369.74
4.0,758.0,920.0,1515.78,0.9999999990388777,0.12,1620.21,187.9
2.0,869.0,1009.0,3217.21,0.999999999371384,0.08,3691.06,276.52
7.0,1070.0,1085.0,2406.22,0.9999999999496823,0.16,2497.98,388.21
1.0,807.0,859.0,895.05,0.999999999770387,0.06,1207.01,76.03
4.0,689.0,984.0,3445.94,0.9999999975402865,0.11,3682.3,410.71
4.0,202.0,303.0,2515.53,0.999999997955402,0.19,2688.29,505.6
3.0,723.0,1043.0,1124.52,0.9999999976761764,0.09,1230.51,111.47
5.0,879.0,921.0,1568.0,0.9999999998211491,0.14,1653.23,222.1
2.0,502.0,889.0,2878.52,0.9999999960393644,0.08,3302.67,266.24
3.0,512.0,764.0,3924.59,0.9999999975606615,0.11,4291.73,463.43
1.0,307.0,316.0,4084.08,0.999999999898127,0.1,5492.91,532.88
2.0,291.0,1090.0,3908.94,0.9999999755485213,0.07,4484.29,320.66
3.0,728.0,784.0,2535.98,0.9999999997141491,0.11,2773.61,295.44
5.0,719.0,962.0,3250.47,0.9999999980673904,0.13,3426.46,448.9
2.0,408.0,544.0,2683.49,0.9999999986938681,0.1,3079.02,317.64
4.0,822.0,926.0,2608.63,0.9999999994852609,0.12,2787.76,322.1
4.0,767.0,1013.0,2204.48,0.9999999983418484,0.11,2355.98,258.3
2.0,405.0,771.0,1268.54,0.99999999542208,0.09,1456.44,126.89
2.0,488.0,972.0,2522.16,0.9999999943012157,0.08,2894.01,221.64
1.0,427.0,967.0,2890.68,0.9999999939223594,0.06,3889.04,229.0
4.0,663.0,723.0,1763.3,0.9999999996536699,0.13,1884.65,249.05
1.0,616.0,819.0,1666.34,0.9999999987267147,0.07,2243.59,145.07
2.0,724.0,939.0,2617.19,0.9999999987504677,0.08,3002.99,234.65
1.0,843.0,845.0,634.27,0.9999999999917508,0.06,856.53,54.45
1.0,127.0,445.0,909.42,0.9999999915041865,0.09,1226.32,105.44
2.0,969.0,1067.0,3771.36,0.999999999620286,0.07,4326.52,313.43
1.0,52.0,1071.0,888.42,0.9999999103992503,0.06,1198.1,66.38
2.0,362.0,812.0,5407.32,0.9999999930045453,0.09,6202.54,525.65
5.0,503.0,650.0,1085.99,0.9999999985851913,0.16,1145.22,184.98
2.0,816.0,990.0,1814.41,0.999999999140722,0.08,2082.41,157.77
2.0,698.0,1025.0,1585.68,0.9999999977990794,0.07,1820.11,135.08
6.0,749.0,842.0,2422.16,0.9999999994657909,0.16,2530.61,406.6
1.0,487.0,674.0,4452.04,0.9999999985372867,0.07,5987.43,428.33
3.0,284.0,526.0,3300.27,0.9999999957705528,0.13,3609.18,466.05
1.0,17.0,764.0,2742.61,0.999999914207621,0.07,3690.04,247.63
2.0,261.0,592.0,2005.57,0.999999993910399,0.1,2301.62,228.54
2.0,554.0,724.0,6743.82,0.9999999987534058,0.09,7735.16,696.34
4.0,591.0,1002.0,3474.67,0.9999999948438489,0.11,3713.0,409.73
3.0,760.0,904.0,4676.36,0.9999999992152251,0.1,5113.61,503.67
2.0,646.0,883.0,1388.98,0.9999999984142884,0.08,1594.55,129.03
1.0,628.0,1057.0,727.09,0.9999999969687379,0.06,981.28,54.8
4.0,714.0,941.0,3576.88,0.9999999983909862,0.12,3822.19,437.56
2.0,779.0,1015.0,960.24,0.9999999987055628,0.08,1102.9,82.33
2.0,666.0,992.0,4853.16,0.9999999976933538,0.08,5567.06,421.28
2.0,574.0,1094.0,3505.06,0.9999999946882259,0.07,4021.14,286.89
6.0,569.0,889.0,2285.51,0.9999999952793741,0.16,2387.87,372.24
5.0,881.0,949.0,2758.52,0.9999999996971618,0.13,2907.98,383.99
2.0,575.0,847.0,1893.97,0.9999999978698939,0.08,2173.64,180.01
6.0,982.0,988.0,2740.77,0.9999999999785227,0.15,2863.42,420.02
2.0,944.0,1010.0,691.18,0.9999999997440527,0.08,794.36,59.48
2.0,541.0,552.0,1482.91,0.9999999999287255,0.1,1702.26,174.48
4.0,626.0,841.0,4785.48,0.9999999982674865,0.12,5113.41,623.62
2.0,219.0,472.0,4611.16,0.9999999950580511,0.11,5289.55,579.51
1.0,338.0,618.0,331.5,0.9999999967281497,0.08,449.63,33.54
4.0,686.0,689.0,1248.1,0.9999999999847375,0.14,1334.23,180.66
1.0,360.0,918.0,6077.5,0.9999999924849786,0.06,8171.97,495.87
5.0,631.0,818.0,4742.44,0.9999999984667776,0.14,4998.92,717.47
6.0,800.0,871.0,2326.76,0.9999999996391196,0.16,2430.96,383.33
2.0,878.0,927.0,2718.85,0.9999999997982962,0.08,3119.57,245.56
2.0,313.0,1027.0,2839.85,0.9999999818993267,0.07,3258.32,241.54
6.0,694.0,982.0,2080.35,0.9999999970240878,0.15,2173.57,319.98
4.0,377.0,619.0,2321.88,0.9999999963869621,0.14,2481.41,353.98
2.0,247.0,375.0,1754.74,0.9999999980419894,0.12,2013.98,240.75
7.0,744.0,908.0,2696.83,0.9999999987980621,0.17,2799.62,483.29
3.0,604.0,978.0,2730.09,0.999999996385301,0.1,2985.82,281.04
4.0,768.0,993.0,4329.94,0.9999999985384636,0.11,4626.73,513.29
4.0,886.0,905.0,1716.06,0.9999999999234426,0.12,1834.18,214.71
5.0,695.0,876.0,1275.61,0.9999999986893793,0.14,1345.07,185.9
1.0,618.0,997.0,8105.18,0.9999999973622853,0.06,10897.07,630.25
7.0,452.0,743.0,2324.45,0.9999999938076212,0.19,2413.11,464.56
3.0,805.0,945.0,1153.62,0.9999999992857611,0.1,1262.33,121.21
2.0,441.0,609.0,1450.31,0.9999999984552055,0.1,1664.88,163.15
3.0,717.0,1016.0,926.73,0.9999999978694303,0.09,1014.27,93.34
2.0,690.0,774.0,5746.0,0.9999999995453261,0.09,6590.92,573.06
1.0,510.0,535.0,3288.48,0.9999999998279747,0.08,4423.66,352.39
3.0,379.0,457.0,1090.64,0.9999999992095037,0.14,1193.47,163.39
1.0,187.0,886.0,175.7,0.9999999810269536,0.06,240.24,14.87
3.0,613.0,751.0,1231.71,0.9999999990645838,0.11,1347.7,146.84
4.0,449.0,554.0,2518.3,0.9999999990189912,0.15,2691.25,403.98
3.0,396.0,407.0,944.41,0.9999999999022349,0.14,1033.6,147.95
3.0,602.0,633.0,1506.48,0.9999999998141196,0.12,1648.09,195.6
2.0,508.0,680.0,358.57,0.9999999986206543,0.09,412.94,38.37
1.0,136.0,395.0,475.15,0.9999999936517545,0.09,642.69,57.81
1.0,373.0,462.0,2660.84,0.9999999991467385,0.09,3580.15,303.28
1.0,248.0,610.0,1975.74,0.9999999941096074,0.08,2659.4,199.62
3.0,875.0,912.0,2174.64,0.9999999998468407,0.1,2378.57,233.11
5.0,379.0,381.0,1195.83,0.9999999999815921,0.2,1260.98,254.87
3.0,421.0,770.0,3289.95,0.9999999951134138,0.11,3597.9,386.91
1.0,160.0,553.0,3806.72,0.9999999906585139,0.08,5120.15,401.96
3.0,775.0,819.0,2689.57,0.999999999792291,0.11,2941.53,306.05
3.0,392.0,983.0,2700.99,0.9999999863947711,0.09,2954.01,277.21
6.0,865.0,904.0,2755.5,0.9999999998298958,0.16,2878.8,444.54
5.0,777.0,1020.0,2369.78,0.9999999982415944,0.13,2498.26,316.19
1.0,585.0,768.0,7591.35,0.9999999988059438,0.07,10206.51,683.06
3.0,774.0,845.0,2789.02,0.9999999996532842,0.1,3050.25,311.99
5.0,913.0,1094.0,2944.82,0.9999999990441071,0.12,3104.33,376.59
3.0,227.0,859.0,4000.47,0.9999999705557414,0.1,4374.69,443.41
4.0,441.0,667.0,3364.72,0.999999997251525,0.14,3595.53,494.76
5.0,924.0,972.0,1724.24,0.999999999803808,0.13,1817.9,236.73
2.0,743.0,942.0,2659.18,0.9999999988911465,0.08,3051.14,237.97
3.0,411.0,980.0,1269.28,0.9999999880918681,0.09,1388.77,130.56
2.0,630.0,702.0,1613.3,0.9999999995774354,0.09,1851.79,169.34
4.0,809.0,957.0,2886.54,0.9999999992010178,0.11,3084.66,349.7
2.0,231.0,761.0,2389.01,0.9999999857064414,0.09,2741.33,240.49
5.0,666.0,953.0,1851.54,0.9999999972339206,0.13,1952.07,257.14
3.0,461.0,489.0,3580.94,0.9999999997815108,0.13,3916.03,521.55
3.0,909.0,1033.0,1690.28,0.9999999994543811,0.09,1849.04,168.48
4.0,892.0,997.0,2733.77,0.9999999995229283,0.11,2921.45,323.34
2.0,760.0,822.0,3459.2,0.9999999997014501,0.09,3968.55,334.1
2.0,146.0,480.0,1936.51,0.9999999898044284,0.11,2222.43,241.82
3.0,786.0,961.0,1667.08,0.9999999990431161,0.1,1823.67,173.42
1.0,455.0,562.0,632.06,0.9999999991447708,0.08,853.56,66.53
1.0,273.0,353.0,3717.22,0.9999999989753383,0.09,4999.87,467.83
2.0,659.0,1065.0,1172.4,0.999999996850004,0.07,1346.19,97.63
4.0,688.0,849.0,2748.41,0.9999999989392883,0.12,2937.09,356.34
2.0,706.0,808.0,4815.04,0.9999999994518005,0.09,5523.35,469.34
4.0,910.0,931.0,2427.41,0.9999999999174036,0.12,2594.15,298.81
4.0,928.0,1042.0,1989.83,0.9999999994968072,0.11,2126.66,229.25
3.0,346.0,705.0,2543.71,0.9999999936741648,0.11,2782.06,313.13
5.0,722.0,1050.0,2283.81,0.9999999968760331,0.13,2407.66,299.47
4.0,825.0,898.0,3725.51,0.9999999996569575,0.12,3980.98,468.08
4.0,434.0,801.0,1915.79,0.9999999938385034,0.13,2047.56,256.42
1.0,767.0,810.0,606.64,0.9999999998011286,0.07,819.4,53.3
4.0,588.0,1067.0,2522.16,0.9999999930888726,0.11,2695.38,286.43
4.0,926.0,950.0,1567.44,0.9999999999068583,0.11,1675.4,190.74
2.0,961.0,1008.0,2833.22,0.9999999998237095,0.08,3250.72,243.68
3.0,340.0,808.0,3049.43,0.9999999897718198,0.11,3334.95,349.54
7.0,919.0,942.0,3821.72,0.999999999908205,0.17,3967.2,670.57
3.0,964.0,1051.0,3483.33,0.9999999996549753,0.09,3809.32,343.51
2.0,641.0,1089.0,4709.51,0.9999999962573782,0.07,5402.34,386.52
1.0,102.0,786.0,4812.27,0.9999999710492917,0.07,6471.56,427.82
2.0,562.0,855.0,3161.96,0.999999997597594,0.08,3627.7,298.88
3.0,519.0,936.0,2796.02,0.9999999948586218,0.1,3057.9,295.26
2.0,305.0,1058.0,1805.57,0.9999999793601329,0.07,2072.27,150.89
2.0,399.0,570.0,1938.17,0.9999999982598402,0.1,2224.33,224.73
2.0,633.0,1059.0,577.92,0.9999999964715702,0.07,664.48,48.36
2.0,374.0,584.0,2765.82,0.9999999976259695,0.1,3173.43,317.09
1.0,67.0,769.0,4064.19,0.999999960435576,0.07,5466.18,365.57
3.0,636.0,703.0,2563.6,0.9999999996021023,0.11,2803.81,316.03
1.0,877.0,1028.0,262.99,0.999999999354606,0.06,357.55,20.31
5.0,829.0,856.0,2645.15,0.9999999998811853,0.14,2788.49,390.38
5.0,936.0,1047.0,2379.06,0.9999999994991073,0.13,2508.05,312.49
3.0,1026.0,1093.0,1491.38,0.9999999997563314,0.09,1631.59,143.66
5.0,770.0,829.0,3742.41,0.99999999970244,0.14,3944.94,562.09
1.0,366.0,502.0,3825.51,0.9999999986431771,0.08,5145.41,421.24
2.0,627.0,776.0,1701.15,0.999999999056145,0.09,1952.53,169.54
1.0,171.0,868.0,2595.64,0.9999999796828987,0.06,3492.52,218.73
1.0,434.0,640.0,764.66,0.9999999981800964,0.07,1031.77,75.7
1.0,154.0,693.0,1719.38,0.9999999851284636,0.07,2314.87,163.33
3.0,963.0,1056.0,1869.29,0.999999999628286,0.09,2044.74,183.86
2.0,857.0,1027.0,1213.84,0.9999999992052353,0.07,1393.71,103.32
5.0,894.0,1066.0,2785.04,0.9999999990849502,0.12,2935.93,361.85
3.0,792.0,836.0,2347.76,0.9999999997968185,0.1,2567.84,264.19
1.0,40.0,65.0,1611.09,0.9999999982092727,0.13,2169.33,280.47
3.0,987.0,1094.0,1745.16,0.9999999995766216,0.09,1909.04,168.0
4.0,947.0,1025.0,4636.3,0.9999999996803528,0.11,4954.03,539.34
2.0,507.0,929.0,5792.41,0.9999999955564889,0.08,6644.14,522.36
2.0,685.0,1070.0,5773.62,0.9999999971984874,0.07,6622.59,478.94
3.0,774.0,843.0,1926.02,0.9999999996638687,0.1,2106.76,215.77
5.0,991.0,1052.0,2834.55,0.9999999997629385,0.13,2988.11,371.24
3.0,878.0,967.0,1428.76,0.9999999996101483,0.1,1563.13,148.1
6.0,620.0,1009.0,2986.08,0.9999999937811268,0.15,3119.66,451.95
5.0,670.0,805.0,2005.58,0.9999999990771915,0.15,2114.42,306.11
2.0,198.0,721.0,5681.36,0.999999983884015,0.09,6516.79,587.91
2.0,800.0,907.0,3332.68,0.9999999994915105,0.08,3823.47,304.74
2.0,653.0,681.0,3454.23,0.9999999998474876,0.09,3962.86,367.94
3.0,368.0,667.0,2216.63,0.9999999955571164,0.12,2424.48,280.52
4.0,737.0,888.0,1120.19,0.9999999990928758,0.12,1197.58,141.7
4.0,927.0,994.0,2982.95,0.9999999997236779,0.11,3187.66,353.43
1.0,414.0,656.0,3911.7,0.9999999977144498,0.07,5261.24,381.42
4.0,426.0,506.0,1613.3,0.9999999992481641,0.16,1724.39,269.24
4.0,947.0,1014.0,1347.55,0.9999999997297571,0.11,1440.48,157.84
1.0,160.0,242.0,917.15,0.9999999983079115,0.11,1236.71,129.51
1.0,816.0,1023.0,5895.18,0.999999999019054,0.06,7926.94,451.51
2.0,476.0,1008.0,2572.44,0.9999999931970935,0.08,2951.67,221.26
2.0,469.0,499.0,6052.64,0.9999999997723037,0.11,6942.56,743.32
5.0,829.0,987.0,1252.41,0.9999999991080164,0.13,1320.62,170.43
9.0,756.0,813.0,1382.48,0.9999999996830311,0.23,1423.29,317.51
2.0,589.0,812.0,4138.78,0.9999999983801271,0.09,4747.86,402.37
3.0,411.0,720.0,1985.69,0.9999999958470602,0.11,2172.0,241.86
5.0,970.0,991.0,2541.28,0.9999999999220786,0.13,2679.02,344.92
1.0,428.0,1051.0,5105.1,0.9999999925709422,0.06,6865.11,384.73
3.0,676.0,947.0,1466.34,0.9999999980136742,0.1,1604.21,153.85
5.0,917.0,1020.0,2002.04,0.9999999995315498,0.13,2110.69,267.14
3.0,825.0,969.0,3142.62,0.9999999992807289,0.1,3436.83,325.24
5.0,714.0,715.0,4096.01,0.9999999999951257,0.16,4317.62,665.13
2.0,639.0,782.0,4326.63,0.9999999991165454,0.09,4963.27,429.2
1.0,365.0,1017.0,6906.25,0.9999999906966931,0.06,9285.77,530.76
2.0,256.0,899.0,1822.14,0.9999999816879023,0.08,2091.27,167.52
1.0,220.0,431.0,1839.82,0.9999999965560116,0.09,2476.73,215.61
1.0,607.0,822.0,274.04,0.9999999986219694,0.07,372.4,24.03
1.0,239.0,481.0,2331.55,0.9999999962521136,0.08,3137.6,261.47
3.0,522.0,868.0,1921.96,0.9999999962085147,0.1,2102.32,211.86
1.0,375.0,540.0,815.49,0.9999999983660925,0.08,1100.09,87.28
3.0,547.0,612.0,729.3,0.9999999995514393,0.12,798.43,96.29
3.0,643.0,794.0,1695.81,0.9999999990090582,0.11,1855.08,196.27
3.0,365.0,937.0,1928.22,0.9999999861212361,0.1,2109.17,203.53
1.0,203.0,920.0,1190.08,0.9999999815513744,0.06,1603.52,97.18
1.0,494.0,522.0,5803.46,0.9999999998009006,0.08,7803.67,628.31
2.0,903.0,1071.0,2758.63,0.9999999992577264,0.07,3165.18,228.77
1.0,455.0,530.0,5944.9,0.999999999409781,0.08,7993.76,639.4
2.0,280.0,399.0,2897.86,0.9999999983915357,0.12,3324.84,388.69
2.0,673.0,1012.0,1853.08,0.9999999975975122,0.08,2126.75,159.05
2.0,555.0,783.0,3626.06,0.9999999982300345,0.09,4159.9,359.48
1.0,379.0,780.0,3444.28,0.9999999954185963,0.07,4633.05,307.53
3.0,660.0,747.0,2264.14,0.9999999994895017,0.11,2476.42,270.58
4.0,769.0,820.0,1056.93,0.9999999997508848,0.12,1129.99,139.73
1.0,302.0,595.0,2313.87,0.9999999961768038,0.08,3113.83,236.46
3.0,481.0,957.0,2984.6,0.9999999929423429,0.1,3264.07,311.15
5.0,537.0,1088.0,2375.09,0.9999999864787414,0.12,2503.86,304.77
4.0,670.0,1006.0,2785.43,0.999999996877107,0.11,2976.64,327.7
1.0,382.0,848.0,1194.51,0.9999999944617679,0.06,1609.47,102.11
3.0,810.0,1086.0,944.04,0.9999999983398709,0.09,1033.2,91.33
1.0,508.0,661.0,737.04,0.9999999988733224,0.07,994.65,71.84
